,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_workers,actual_productivity,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing ,department_sweing,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,team_2,team_3,team_4,team_5,team_6,team_7,team_8,team_9,team_10,team_11,team_12,no_of_style_change_1,no_of_style_change_2
19,0.8,4.15,1003.0192307692307,6600,0,0.0,0,20.0,0.988024691,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,0.75,2.9,1003.0192307692307,5640,0,0.0,0,17.0,0.987880435,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,0.8,4.15,1003.0192307692307,960,0,0.0,0,8.0,0.956270833,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0.75,3.94,1003.0192307692307,1560,0,0.0,0,8.0,0.945277778,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,0.8,3.94,1003.0192307692307,960,0,0.0,0,8.0,0.902916667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.8,28.08,772.0,6300,50,0.0,0,56.5,0.800725314,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.8,28.08,913.0,6540,50,0.0,0,54.5,0.800322936,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,0.8,26.16,1261.0,7080,50,0.0,0,59.0,0.800318644,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,0.8,26.16,844.0,7080,63,0.0,0,59.0,0.800318644,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,0.8,11.61,1005.0,7080,50,0.0,0,29.5,0.800237288,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,0.8,11.61,659.0,7080,50,0.0,0,31.5,0.800148649,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,0.8,25.9,1152.0,6720,50,0.0,0,56.0,0.800125,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,0.8,25.9,1138.0,6720,38,0.0,0,56.0,0.800125,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,0.75,19.31,610.0,6480,56,0.0,0,54.0,0.787299691,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,0.8,4.15,1003.0192307692307,960,0,0.0,0,8.0,0.782447917,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,0.75,19.87,944.0,6600,45,0.0,0,55.0,0.75024303,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,0.7,4.15,1003.0192307692307,960,0,0.0,0,8.0,0.7018125,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,0.7,23.69,544.0,13800,0,0.0,0,60.0,0.700134038,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,0.7,28.08,1072.0,6900,40,0.0,0,57.5,0.699965217,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0.8,2.9,1003.0192307692307,960,0,0.0,0,8.0,0.628333333,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,0.8,3.94,1003.0192307692307,960,0,0.0,0,8.0,0.6253125,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,0.75,4.15,1016.198275862069,1560,0,0.0,0,8.0,0.991388889,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,0.8,3.94,1016.198275862069,960,0,0.0,0,8.0,0.931645833,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,0.8,3.94,1016.198275862069,960,0,0.0,0,8.0,0.915229167,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.8,11.61,539.0,6975,50,0.0,0,31.0,0.879714482,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,0.8,3.94,1016.198275862069,6600,0,0.0,0,20.0,0.861679012,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,0.8,26.16,1278.0,7080,60,0.0,0,59.0,0.850569492,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0.8,25.9,1227.0,7020,60,0.0,0,56.5,0.850436438,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,0.8,25.9,1039.0,6780,45,0.0,0,56.5,0.850345133,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,0.8,28.08,878.0,4260,50,0.0,0,55.5,0.800598058,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,0.8,26.16,1033.0,7080,63,0.0,0,59.0,0.800318644,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.8,28.08,782.0,6660,50,0.0,0,55.5,0.800237838,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,0.8,11.61,1216.0,6975,50,0.0,0,31.0,0.800030199,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,0.8,3.94,1016.198275862069,960,0,0.0,0,8.0,0.792104167,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,0.7,3.94,1016.198275862069,4320,0,0.0,0,18.0,0.759228395,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,0.75,19.31,513.0,6480,45,0.0,0,54.0,0.750348457,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,0.75,19.87,734.0,6600,45,0.0,0,55.0,0.75024303,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,0.7,28.08,1202.0,6900,40,0.0,0,57.5,0.699965217,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,0.8,2.9,1016.198275862069,960,0,0.0,0,8.0,0.682708333,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,0.8,2.9,1016.198275862069,960,0,0.0,0,8.0,0.667604167,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,0.7,45.67,884.0,6960,26,0.0,0,58.0,0.603432184,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,0.75,4.15,1016.198275862069,960,0,0.0,0,8.0,0.345833333,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,0.8,3.94,2156.310344827586,1920,0,0.0,0,8.0,0.961059028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.8,3.94,2156.310344827586,2400,0,0.0,0,10.0,0.939513889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,0.8,3.94,2156.310344827586,3840,0,0.0,0,16.0,0.893663194,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,0.75,4.15,2156.310344827586,1920,0,0.0,0,8.0,0.875390625,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,0.8,26.16,1227.0,7080,75,0.0,0,59.0,0.850569492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,0.8,2.9,2156.310344827586,1920,0,0.0,0,8.0,0.820833333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,0.8,3.94,2156.310344827586,960,0,0.0,0,8.0,0.804416667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,0.8,25.9,1255.0,6780,50,0.0,0,56.5,0.800684366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,0.8,25.9,1047.0,6780,38,0.0,0,56.5,0.800684366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,0.8,26.16,1138.0,7080,63,0.0,0,59.0,0.800318644,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.8,19.31,678.0,4800,50,0.0,0,55.0,0.800250962,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,0.8,11.61,712.0,7200,50,0.0,0,32.0,0.800246011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,0.8,11.61,1037.0,7200,50,0.0,0,32.0,0.800246011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,0.8,28.08,757.0,6900,50,0.0,0,57.5,0.800076522,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,0.8,28.08,759.0,6900,50,0.0,0,57.5,0.800076522,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,0.75,2.9,2156.310344827586,960,0,0.0,0,8.0,0.763375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,0.6,2.9,2156.310344827586,960,0,0.0,0,8.0,0.759270833,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,0.75,28.08,1083.0,7020,45,0.0,0,58.5,0.7504,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,0.75,19.87,944.0,6600,45,0.0,0,55.0,0.75024303,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,0.8,3.94,2156.310344827586,960,0,0.0,0,8.0,0.676666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,0.8,2.9,2156.310344827586,960,0,0.0,0,8.0,0.664583333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,0.6,21.98,666.0,6960,23,0.0,0,58.0,0.600028736,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,0.8,3.94,1012.4830508474577,4440,0,0.0,0,18.0,0.966781346,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,0.8,3.94,1012.4830508474577,1440,0,0.0,0,8.0,0.936496212,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.75,4.15,1012.4830508474577,1800,0,0.0,0,10.0,0.899166667,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,0.8,4.15,1012.4830508474577,2700,0,0.0,0,15.0,0.888686869,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,0.8,3.94,1012.4830508474577,1440,0,0.0,0,8.0,0.858143939,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
88,0.8,26.16,1187.0,10620,75,0.0,0,59.0,0.850502311,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0.8,26.16,1305.0,10620,75,0.0,0,59.0,0.850502311,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,0.75,3.94,1012.4830508474577,1440,0,0.0,0,8.0,0.809640152,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,0.8,3.94,1012.4830508474577,1440,0,0.0,0,8.0,0.805909091,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,0.8,28.08,716.0,10350,50,0.0,0,57.5,0.800594466,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,0.8,28.08,925.0,10350,50,0.0,0,57.5,0.800594466,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,0.8,19.87,963.0,9900,50,0.0,0,55.0,0.800273829,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,0.8,11.61,1101.0,5310,50,0.0,0,31.5,0.800140969,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,0.8,25.9,1035.0,10170,38,0.0,0,56.5,0.800128721,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,0.8,25.9,1083.0,10170,38,0.0,0,56.5,0.800128721,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,0.8,11.61,910.0,4470,38,0.0,0,31.5,0.80007657,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,0.75,28.08,1209.0,10530,45,0.0,0,58.5,0.750545455,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,0.75,19.31,590.0,9900,45,0.0,0,55.0,0.750057851,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,0.8,2.9,1012.4830508474577,1440,0,0.0,0,8.0,0.681060606,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,0.65,21.98,808.0,10440,35,0.0,0,58.0,0.649983281,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,0.8,2.9,1012.4830508474577,1440,0,0.0,0,8.0,0.61625,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,0.8,3.94,973.7731092436975,1440,0,0.0,0,8.0,0.951420455,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.8,3.94,973.7731092436975,1440,0,0.0,0,8.0,0.880530303,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
106,0.8,26.16,1179.0,10620,75,0.0,0,59.0,0.850502311,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.8,26.16,1324.0,10620,75,0.0,0,59.0,0.850502311,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
108,0.8,25.9,1135.0,10170,60,0.0,0,56.5,0.850136766,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
109,0.75,4.15,973.7731092436975,2700,0,0.0,0,15.0,0.83,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,0.8,3.94,973.7731092436975,4440,0,0.0,0,18.0,0.827186544,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
111,0.8,3.94,973.7731092436975,1440,0,0.0,0,8.0,0.813371212,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
112,0.75,3.94,973.7731092436975,1440,0,0.0,0,8.0,0.805909091,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
113,0.8,2.9,973.7731092436975,1440,0,0.0,0,8.0,0.804640152,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
114,0.8,28.08,776.0,10350,63,0.0,0,57.5,0.800594466,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
115,0.8,28.08,990.0,10350,50,0.0,0,57.5,0.800594466,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
116,0.8,11.41,986.0,5490,50,0.0,0,30.5,0.800343766,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
117,0.8,19.87,924.0,9900,50,0.0,0,55.0,0.800273829,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
118,0.8,11.61,1120.0,5670,50,0.0,0,31.5,0.800246753,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
119,0.8,25.9,1066.0,10170,50,0.0,0,56.5,0.800128721,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
120,0.75,28.08,1144.0,10530,69,0.0,0,58.5,0.8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
121,0.7,21.98,413.0,9720,40,0.0,0,58.0,0.700480831,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
122,0.8,2.9,973.7731092436975,1440,0,0.0,0,8.0,0.681060606,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
123,0.8,2.9,973.7731092436975,1800,0,0.0,0,10.0,0.666515152,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
124,0.8,31.83,568.0,9900,40,0.0,0,55.0,0.412119835,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
125,0.7,4.15,973.7731092436975,1440,0,0.0,0,8.0,0.330113636,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
126,0.8,3.94,974.0254237288135,1440,0,0.0,0,8.0,0.947689394,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0.8,3.94,974.0254237288135,12600,0,0.0,0,20.0,0.919905405,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,0.8,26.16,1216.0,10620,88,0.0,0,59.0,0.900215716,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,0.8,3.94,974.0254237288135,1440,0,0.0,0,8.0,0.891723485,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,0.8,26.16,1189.0,10620,75,0.0,0,59.0,0.850502311,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0.8,28.08,942.0,10530,75,0.0,0,58.5,0.850181818,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132,0.8,25.9,1050.0,10170,60,0.0,0,56.5,0.850136766,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,0.8,25.9,1026.0,10170,60,0.0,0,56.5,0.850136766,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,0.8,3.94,974.0254237288135,1440,0,0.0,0,8.0,0.835757576,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,0.7,4.15,974.0254237288135,3840,0,0.0,0,8.0,0.821354167,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
136,0.8,28.08,783.0,10050,63,0.0,0,58.5,0.800497246,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,0.8,19.87,857.0,9900,50,0.0,0,55.0,0.800273829,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,0.8,11.61,548.0,15120,63,0.0,0,31.5,0.800107143,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,0.8,11.41,411.0,14640,50,0.0,0,30.5,0.800024932,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,0.75,28.08,1066.0,10530,69,0.0,0,58.5,0.8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
141,0.75,3.94,974.0254237288135,1440,0,0.0,0,8.0,0.779791667,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
142,0.8,2.9,974.0254237288135,1440,0,0.0,0,8.0,0.735984848,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,0.75,4.15,974.0254237288135,2160,0,0.0,0,12.0,0.712626263,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
144,0.8,2.9,974.0254237288135,1440,0,0.0,0,8.0,0.681060606,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,0.8,4.15,974.0254237288135,900,0,0.0,0,5.0,0.515606061,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,0.35,12.52,287.0,25920,38,0.0,0,54.0,0.349951389,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,0.7,42.41,724.0,10260,0,0.0,0,57.0,0.233705476,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,0.8,3.94,1003.0192307692307,2160,0,0.0,0,8.0,0.985,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0.75,4.15,1003.0192307692307,2760,0,0.0,0,12.0,0.930340376,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,0.8,3.94,1003.0192307692307,6000,0,0.0,0,20.0,0.911589744,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,0.8,3.94,1003.0192307692307,1440,0,0.0,0,8.0,0.858143939,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
152,0.8,26.16,1122.0,10620,75,0.0,0,59.0,0.851174114,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
153,0.8,25.9,970.0,10170,60,0.0,0,56.5,0.850136766,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,0.8,25.9,1158.0,10170,60,0.0,0,56.5,0.850136766,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,0.8,3.94,1003.0192307692307,1440,0,0.0,0,8.0,0.846950758,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,0.8,4.15,1003.0192307692307,1440,0,0.0,0,8.0,0.817424242,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157,0.8,3.94,1003.0192307692307,1440,0,0.0,0,8.0,0.817102273,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158,0.8,28.08,660.0,10440,63,0.0,0,58.0,0.801028213,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,0.8,28.08,749.0,10350,63,0.0,0,57.5,0.800594466,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
